# Provenance: Sharma et al. (2021) Indian J. Agric. Sci. 91(8): 1174-1179
# Source ID: SRC-ICAR-PAU-LTFE-RICE-WHEAT-2021
# Dataset ID: DS-ICAR-PAU-LTFE-RICE-WHEAT-2021
# Data Granularity: treatment_mean (means across 3 replications; no synthetic plot rows)
observation_id,study_id,source_id,dataset_id,source_table,data_granularity,treatment_id,treatment_description,crop,cultivar,season,year,state,district,soil_type,soil_order,plot_size_m2,replications_in_experiment,fertilizer_N_kg_ha,fertilizer_P2O5_kg_ha,fertilizer_K2O_kg_ha,organic_amendment,observed_grain_yield_Mg_ha,observed_straw_yield_Mg_ha,grain_N_content_pct,straw_N_content_pct,grain_N_uptake_kg_ha,straw_N_uptake_kg_ha,total_N_uptake_kg_ha,STCR_applicability_match
OBS-PAU-LTFE-2018-RICE-T1,STUDY-PAU-LTFE-RICE-WHEAT-2021,SRC-ICAR-PAU-LTFE-RICE-WHEAT-2021,DS-ICAR-PAU-LTFE-RICE-WHEAT-2021,Table 1 (p. 1178),treatment_mean,T1,Control,rice,PR 126,kharif,2018,Punjab,Ludhiana,sandy loam,Inceptisol (Typic Ustochrept),108,3,0.0,0.0,0.0,None,2.95,3.21,1.03,0.34,30.4,11.0,41.4,false
OBS-PAU-LTFE-2018-RICE-T2,STUDY-PAU-LTFE-RICE-WHEAT-2021,SRC-ICAR-PAU-LTFE-RICE-WHEAT-2021,DS-ICAR-PAU-LTFE-RICE-WHEAT-2021,Table 1 (p. 1178),treatment_mean,T2,100% NPK,rice,PR 126,kharif,2018,Punjab,Ludhiana,sandy loam,Inceptisol (Typic Ustochrept),108,3,120.0,30.0,30.0,None,6.03,6.50,1.26,0.56,75.9,36.6,112.5,false
OBS-PAU-LTFE-2018-RICE-T3,STUDY-PAU-LTFE-RICE-WHEAT-2021,SRC-ICAR-PAU-LTFE-RICE-WHEAT-2021,DS-ICAR-PAU-LTFE-RICE-WHEAT-2021,Table 1 (p. 1178),treatment_mean,T3,150% NPK,rice,PR 126,kharif,2018,Punjab,Ludhiana,sandy loam,Inceptisol (Typic Ustochrept),108,3,180.0,45.0,45.0,None,5.95,6.42,1.24,0.58,73.8,37.3,111.1,false
OBS-PAU-LTFE-2018-RICE-T4,STUDY-PAU-LTFE-RICE-WHEAT-2021,SRC-ICAR-PAU-LTFE-RICE-WHEAT-2021,DS-ICAR-PAU-LTFE-RICE-WHEAT-2021,Table 1 (p. 1178),treatment_mean,T4,100% NPK + FYM,rice,PR 126,kharif,2018,Punjab,Ludhiana,sandy loam,Inceptisol (Typic Ustochrept),108,3,120.0,30.0,30.0,FYM 10 t/ha,6.94,7.52,1.37,0.66,95.0,49.5,144.5,false
OBS-PAU-LTFE-2018-RICE-T5,STUDY-PAU-LTFE-RICE-WHEAT-2021,SRC-ICAR-PAU-LTFE-RICE-WHEAT-2021,DS-ICAR-PAU-LTFE-RICE-WHEAT-2021,Table 1 (p. 1178),treatment_mean,T5,100% NPK + GM,rice,PR 126,kharif,2018,Punjab,Ludhiana,sandy loam,Inceptisol (Typic Ustochrept),108,3,120.0,30.0,30.0,Green Manure (Sesbania),5.87,6.28,1.33,0.65,78.1,40.9,119.0,false
OBS-PAU-LTFE-2018-RICE-T6,STUDY-PAU-LTFE-RICE-WHEAT-2021,SRC-ICAR-PAU-LTFE-RICE-WHEAT-2021,DS-ICAR-PAU-LTFE-RICE-WHEAT-2021,Table 1 (p. 1178),treatment_mean,T6,100% NPK + SI,rice,PR 126,kharif,2018,Punjab,Ludhiana,sandy loam,Inceptisol (Typic Ustochrept),108,3,120.0,30.0,30.0,Straw Incorporation,6.51,7.04,1.26,0.61,82.3,43.1,125.4,false
OBS-PAU-LTFE-2019-WHEAT-T1,STUDY-PAU-LTFE-RICE-WHEAT-2021,SRC-ICAR-PAU-LTFE-RICE-WHEAT-2021,DS-ICAR-PAU-LTFE-RICE-WHEAT-2021,Table 2 (p. 1179),treatment_mean,T1,Control,wheat,Unnat PBW 550,rabi,2019,Punjab,Ludhiana,sandy loam,Inceptisol (Typic Ustochrept),108,3,0.0,0.0,0.0,None,1.33,1.55,1.05,0.26,13.9,4.10,18.0,false
OBS-PAU-LTFE-2019-WHEAT-T2,STUDY-PAU-LTFE-RICE-WHEAT-2021,SRC-ICAR-PAU-LTFE-RICE-WHEAT-2021,DS-ICAR-PAU-LTFE-RICE-WHEAT-2021,Table 2 (p. 1179),treatment_mean,T2,100% NPK,wheat,Unnat PBW 550,rabi,2019,Punjab,Ludhiana,sandy loam,Inceptisol (Typic Ustochrept),108,3,120.0,60.0,30.0,None,4.36,5.10,1.52,0.47,66.2,24.0,90.2,false
OBS-PAU-LTFE-2019-WHEAT-T3,STUDY-PAU-LTFE-RICE-WHEAT-2021,SRC-ICAR-PAU-LTFE-RICE-WHEAT-2021,DS-ICAR-PAU-LTFE-RICE-WHEAT-2021,Table 2 (p. 1179),treatment_mean,T3,150% NPK,wheat,Unnat PBW 550,rabi,2019,Punjab,Ludhiana,sandy loam,Inceptisol (Typic Ustochrept),108,3,180.0,90.0,45.0,None,4.44,5.47,1.55,0.47,69.9,25.7,95.6,false
OBS-PAU-LTFE-2019-WHEAT-T4,STUDY-PAU-LTFE-RICE-WHEAT-2021,SRC-ICAR-PAU-LTFE-RICE-WHEAT-2021,DS-ICAR-PAU-LTFE-RICE-WHEAT-2021,Table 2 (p. 1179),treatment_mean,T4,100% NPK + FYM,wheat,Unnat PBW 550,rabi,2019,Punjab,Ludhiana,sandy loam,Inceptisol (Typic Ustochrept),108,3,120.0,60.0,30.0,FYM 10 t/ha,5.00,6.36,1.72,0.56,86.4,36.0,122.4,false
